,number,value,datetime_start,datetime_complete,duration,params_encoded_space_dim,params_lr,params_n_channels,params_optimizer,params_weight_decay,state
33,33,0.022491050884127617,2021-11-27 19:51:00.630179,2021-11-27 19:53:16.794190,0 days 00:02:16.164011,9,0.001839777874326468,10,Adam,0.00012736973063533924,COMPLETE
34,34,0.15586180984973907,2021-11-27 19:53:16.800597,2021-11-27 19:53:52.411982,0 days 00:00:35.611385,8,0.02502083066535851,11,Adam,0.5380176494041613,PRUNED
35,35,0.12438828498125076,2021-11-27 19:53:52.412495,2021-11-27 19:54:16.191241,0 days 00:00:23.778746,10,0.01084765272316188,8,Adam,0.003584757090641142,PRUNED
36,36,0.019404511898756027,2021-11-27 19:54:16.192632,2021-11-27 19:56:31.135652,0 days 00:02:14.943020,8,0.004833833740069159,9,Adam,2.4260195169407225e-05,COMPLETE
37,37,0.1547495722770691,2021-11-27 19:56:31.138020,2021-11-27 19:56:51.341023,0 days 00:00:20.203003,8,0.004343472489864767,7,SGD,2.611309215477797e-05,PRUNED
38,38,0.037087101489305496,2021-11-27 19:56:51.341482,2021-11-27 19:57:24.600308,0 days 00:00:33.258826,8,0.0024850503697918967,9,RMSprop,1.2098241172409676e-05,PRUNED
39,39,0.13022829592227936,2021-11-27 19:57:24.601555,2021-11-27 19:57:53.875277,0 days 00:00:29.273722,9,0.0067752309958672005,9,Adam,0.057538083278717594,PRUNED
40,40,0.1360931098461151,2021-11-27 19:57:53.876274,2021-11-27 19:58:17.489421,0 days 00:00:23.613147,6,0.00035995469379402896,8,RMSprop,0.014120601004236297,PRUNED
41,41,0.026331773027777672,2021-11-27 19:58:17.489812,2021-11-27 20:00:08.835858,0 days 00:01:51.346046,9,0.049884647776022494,10,Adam,2.412280346791918e-05,PRUNED
42,42,0.019964691251516342,2021-11-27 20:00:08.836322,2021-11-27 20:02:33.194829,0 days 00:02:24.358507,10,0.011525414077681193,10,Adam,6.336548336624277e-05,COMPLETE
43,43,0.06329210847616196,2021-11-27 20:02:33.202367,2021-11-27 20:02:59.344484,0 days 00:00:26.142117,9,0.0044582188029633945,9,Adam,0.000371105262309585,PRUNED
44,44,0.021089179441332817,2021-11-27 20:02:59.345483,2021-11-27 20:05:48.446569,0 days 00:02:49.101086,8,0.011847438168792832,11,Adam,5.529084092483459e-05,COMPLETE
45,45,0.017869267612695694,2021-11-27 20:05:48.453926,2021-11-27 20:08:37.218107,0 days 00:02:48.764181,8,0.008883288869749739,12,Adam,1.723046157849056e-05,COMPLETE
46,46,0.01878436654806137,2021-11-27 20:08:37.220510,2021-11-27 20:11:15.855550,0 days 00:02:38.635040,7,0.0020897206352693837,12,Adam,2.249982806954763e-05,COMPLETE
47,47,0.035637740045785904,2021-11-27 20:11:15.857749,2021-11-27 20:11:52.236869,0 days 00:00:36.379120,7,0.0020412479921816493,12,RMSprop,1.720396424372807e-05,PRUNED
48,48,0.1740276962518692,2021-11-27 20:11:52.238373,2021-11-27 20:12:22.293858,0 days 00:00:30.055485,5,1.0393817230109087e-05,12,Adam,2.4209595489722872e-05,PRUNED
49,49,0.01971852406859398,2021-11-27 20:12:22.295655,2021-11-27 20:15:08.629569,0 days 00:02:46.333914,6,0.003276010832981211,12,Adam,1.0085532992880597e-05,COMPLETE
50,50,0.1881217211484909,2021-11-27 20:15:08.637271,2021-11-27 20:15:38.787920,0 days 00:00:30.150649,6,0.001083762570552761,12,SGD,1.0202082302452615e-05,PRUNED
51,51,0.019177723675966263,2021-11-27 20:15:38.789096,2021-11-27 20:18:26.080293,0 days 00:02:47.291197,7,0.0032275466171344967,12,Adam,2.7947738153756752e-05,COMPLETE
52,52,0.02005201019346714,2021-11-27 20:18:26.086979,2021-11-27 20:21:19.388307,0 days 00:02:53.301328,5,0.004030452845424763,12,Adam,1.508493302972025e-05,COMPLETE
53,53,0.018772128969430923,2021-11-27 20:21:19.390613,2021-11-27 20:24:08.417337,0 days 00:02:49.026724,7,0.003172498545507247,12,Adam,2.3801607978995932e-05,COMPLETE
54,54,0.021312545984983444,2021-11-27 20:24:08.419996,2021-11-27 20:26:58.561653,0 days 00:02:50.141657,7,0.001525803073301737,11,Adam,2.9474021862620827e-05,COMPLETE
